Name,Colecao,Estante,Grupo,Genero,Subgenero,AnoPublicacao,Origem,Escritor,GeneroEscritor,Editora,Etiqueta,Formato,Status,Meta,ClubeLivro,DataClube,TotalPagina,Capa,DataInicio,DataFim,,,,,,,,,,,,,,
Os Sertões,,Livro,Ficção,Romance,Clássico,1902,Brasil,Euclides da Cunha,Masculino,Penguin-Companhia,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,544,https://m.media-amazon.com/images/I/61OKK5bBUZL._SL1500_.jpg,,,,,,,,,,,,,,,,
Ivanhoe,,Livro,Ficção,Romance,Clássico,1819,Reino Unido,Walter Scott,Masculino,Penguin-Companhia,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,544,https://m.media-amazon.com/images/I/7141zLpaUOL._SL1178_.jpg,,,,,,,,,,,,,,,,
A Consciência de Zeno,,Livro,Ficção,Romance,Clássico,1923,Itália,Italo Svevo,Masculino,Penguin-Companhia,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,489,https://m.media-amazon.com/images/I/718JpG+Kj8L._SL1500_.jpg,,,,,,,,,,,,,,,,
Ilusões Perdidas,,Livro,Ficção,Romance,Clássico,1837,França,Honoré de Balzac,Masculino,Penguin-Companhia,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,792,https://m.media-amazon.com/images/I/81+za3fISAL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Vermelho e o Negro,,Livro,Ficção,Romance,Clássico,1830,França,Stendhal,Masculino,Penguin-Companhia,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,648,https://m.media-amazon.com/images/I/81itQ7WiKoL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Pai Goriot,,Livro,Ficção,Romance,Clássico,1835,França,Honoré de Balzac,Masculino,Penguin-Companhia,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,312,https://m.media-amazon.com/images/I/81JsW74LHlS._SL1500_.jpg,,,,,,,,,,,,,,,,
A Letra Encarnada,,Livro,Ficção,Romance,Clássico,1850,Reino Unido,Nathaniel Hawthorne,Masculino,Penguin-Companhia,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,336,https://m.media-amazon.com/images/I/81t1kHW6zRL._SL1500_.jpg,,,,,,,,,,,,,,,,
Os Trabalhadores do Mar,,Livro,Ficção,Romance,Clássico,1866,França,Victor Hugo,Masculino,Penguin-Companhia,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,538,https://m.media-amazon.com/images/I/91FqHyw-kiL._SL1500_.jpg,,,,,,,,,,,,,,,,
Oliver Twist,,Livro,Ficção,Romance,Clássico,1938,Reino Unido,Charles Dickens,Masculino,Penguin-Companhia,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,656,https://m.media-amazon.com/images/I/91G4Im9vqgL._SL1500_.jpg,,,,,,,,,,,,,,,,
Mrs Dalloway,,Livro,Ficção,Romance,Clássico,1925,Reino Unido,Virginia Woolf,Feminino,Penguin-Companhia,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,240,https://m.media-amazon.com/images/I/91rOgmnZpJS._SL1500_.jpg,,,,,,,,,,,,,,,,
Viagens de Gulliver,,Livro,Ficção,Romance,Clássico,1726,Reino Unido,Jonathan Swift,Masculino,Zahar,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,352,https://m.media-amazon.com/images/I/81GgLnG0kHL._SL1500_.jpg,,,,,,,,,,,,,,,,
Moby Dick,,Livro,Ficção,Romance,Clássico,1851,Reino Unido,Herman Melville,Masculino,Zahar,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,720,https://m.media-amazon.com/images/I/81HHJ7P2jVL._SL1500_.jpg,,,,,,,,,,,,,,,,
Jane Eyre,,Livro,Ficção,Romance,Clássico,1847,Reino Unido,Charlotte Brontë,Feminino,Zahar,Em Análise,-,Em Análise,,Clube de Literatura Clássica,,536,https://m.media-amazon.com/images/I/911HhiTClmS._SL1500_.jpg,,,,,,,,,,,,,,,,
Pura,,Livro,Ficção,Romance,Racismo,2024,Brasil,Nara Vidal,Feminino,Todavia,Tenho,EPUB,Lido,,Ler Juntos,03/2025,96,https://m.media-amazon.com/images/I/514OwOUwW7L._SL1500_.jpg,01/03/2025,09/03/2025,,,,,,,,,,,,,,
Nihonjin,,Livro,Ficção,Romance,Contemporâneo,2011,Brasil,Oscar Nakasato,Masculino,Fósforo,Tenho,EPUB,Lido,,Ler Juntos,04/2025,144,https://m.media-amazon.com/images/I/81JBTWSOI3L._SL1500_.jpg,17/03/2025,06/04/2025,,,,,,,,,,,,,,
