Name,Colecao,Estante,Grupo,Genero,Subgenero,AnoPublicacao,Origem,Escritor,GeneroEscritor,Editora,Etiqueta,Formato,Status,Meta,ClubeLivro,DataClube,TotalPagina,Capa,DataInicio,DataFim,,,,,,,,,,,,,,
Count Zero #3,Sprawl ,Livro,Ficção,Científica,Cyberpunk,1988,Canadá,William Gibson,Masculino,Aleph,Em Análise,-,Em Análise,,,,312,https://m.media-amazon.com/images/I/91EoktiGQ0L._SL1500_.jpg,,,,,,,,,,,,,,,,
Anjos Partidos #2,Carbono Alterado,Livro,Ficção,Científica,Cyberpunk,2018,Reino Unido,Richard Morgan,Masculino,Bertrand,Em Análise,-,Em Análise,,,,563,https://m.media-amazon.com/images/I/91lo6Ndk6EL._SL1500_.jpg,,,,,,,,,,,,,,,,
Fúrias Despertadas #3,Carbono Alterado,Livro,Ficção,Científica,Cyberpunk,2019,Reino Unido,Richard Morgan,Masculino,Bertrand,Em Análise,-,Em Análise,,,,596,https://m.media-amazon.com/images/I/91DDdl65y+L._SL1500_.jpg,,,,,,,,,,,,,,,,
1q84 Livro 3,1Q84,Livro,Ficção,Científica,Distopia,2009,Japão,Haruki Murakami,Masculino,Alfaguara,Em Análise,-,Em Análise,,,,472,https://m.media-amazon.com/images/I/71FKRI2gyNL._SL1500_.jpg,,,,,,,,,,,,,,,,
1q84 Livro 2,1Q84,Livro,Ficção,Científica,Distopia,2010,Japão,Haruki Murakami,Masculino,Alfaguara,Em Análise,-,Em Análise,,,,376,https://m.media-amazon.com/images/I/71IYvYbpeGL._SL1500_.jpg,,,,,,,,,,,,,,,,
Aceitação #2,Comando Sul,Livro,Ficção,Científica,Fantasia Científica,2014,Estados Unidos,Jeff VanderMeer,Masculino,Intrínseca,Em Análise,-,Em Análise,,,,356,https://m.media-amazon.com/images/I/91VuR4xUh2L._SL1500_.jpg,,,,,,,,,,,,,,,,
Aniquilação #1,Comando Sul,Livro,Ficção,Científica,Fantasia Científica,2014,Estados Unidos,Jeff Vandermeer,Masculino,Intrínseca,Em Análise,-,Em Análise,,,,201,https://m.media-amazon.com/images/I/815iQ13MRoL._SL1500_.jpg,,,,,,,,,,,,,,,,
Autoridade #3,Comando Sul,Livro,Ficção,Científica,Fantasia Científica,2014,Estados Unidos,Jeff VanderMeer,Masculino,Intrínseca,Em Análise,-,Em Análise,,,,370,https://m.media-amazon.com/images/I/81-v6-4BJFL._SL1500_.jpg,,,,,,,,,,,,,,,,
Portão Do Obelisco #2,A Terra Partida,Livro,Ficção,Científica,Fantasia Científica,2018,Estados Unidos,N. K. Jemisin,Feminino,Morro Branco,Em Análise,-,Em Análise,,,,528,https://m.media-amazon.com/images/I/A1DD-mfpC+L._SL1500_.jpg,,,,,,,,,,,,,,,,
O Céu De Pedra #3,A Terra Partida,Livro,Ficção,Científica,Fantasia Científica,2019,Estados Unidos,N. K. Jemisin,Feminino,Morro Branco,Em Análise,-,Em Análise,,,,512,https://m.media-amazon.com/images/I/A1D9-7vXfrL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Fiasco em Urano #3,Aventuras o Sistema Solar Externo,Livro,Ficção,Científica,Sci-fi Hard,2025,Alemanha,Brandon. Q. Morris,Masculino,INDEPENDENTE,Em Análise,-,Em Análise,,,,468,https://m.media-amazon.com/images/I/61tcEBPz+uL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Fracasso em Plutão #2,Aventuras o Sistema Solar Externo,Livro,Ficção,Científica,Sci-fi Hard,2025,Alemanha,Brandon. Q. Morris,Masculino,INDEPENDENTE,Em Análise,-,Em Análise,,,,556,https://m.media-amazon.com/images/I/71-eg19-HYL._SL1500_.jpg,,,,,,,,,,,,,,,,
As Brigadas Fantasma #2,Guerra do Velho,Livro,Ficção,Científica,Sci-fi Militar,2006,Estados Unidos,John Scalzi,Masculino,Aleph,Em Análise,-,Em Análise,,,,378,https://m.media-amazon.com/images/I/91pPzmc5MLL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Última Colônia #3,Guerra do Velho,Livro,Ficção,Científica,Sci-fi Militar,2007,Estados Unidos,John Scalzi,Masculino,Aleph,Em Análise,-,Em Análise,,,,351,https://m.media-amazon.com/images/I/81HncFvAp3L._SL1500_.jpg,,,,,,,,,,,,,,,,
O Fim De Todas As Coisas #6,Guerra do Velho,Livro,Ficção,Científica,Sci-fi Militar,2015,Estados Unidos,John Scalzi,Masculino,Aleph,Em Análise,-,Em Análise,,,,416,https://m.media-amazon.com/images/I/81wEBOSrA8L._SL1500_.jpg,,,,,,,,,,,,,,,,
A Humanidade Dividida #5,Guerra do Velho,Livro,Ficção,Científica,Sci-fi Militar,2023,Estados Unidos,John Scalzi,Masculino,Aleph,Em Análise,-,Em Análise,,,,665,https://m.media-amazon.com/images/I/81H6tTDr09L._SL1500_.jpg,,,,,,,,,,,,,,,,
O Conto De Zoe #4,Guerra do Velho,Livro,Ficção,Científica,Sci-fi Militar,2023,Estados Unidos,John Scalzi,Masculino,Aleph,Em Análise,-,Em Análise,,,,410,https://m.media-amazon.com/images/I/81lfE5fyrlL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Sol Desvelado #2,Série dos Robôs,Livro,Ficção,Científica,Robô,1957,Estados Unidos,Isaac Asimov,Masculino,Aleph,Em Análise,-,Em Análise,,,,288,https://m.media-amazon.com/images/I/71BBv4oeCGL._SL1000_.jpg,,,,,,,,,,,,,,,,
Os Robôs Da Alvorada #3,Série dos Robôs,Livro,Ficção,Científica,Robô,1983,Estados Unidos,Isaac Asimov,Masculino,Aleph,Em Análise,-,Em Análise,,,,544,https://m.media-amazon.com/images/I/71nqG610ejL._SL1000_.jpg,,,,,,,,,,,,,,,,
A Missão Secreta #1,Leviatã,Livro,Ficção ,Científica,Steampunk,2009,Estados Unidos,Scott Westerfeld,Masculino,Galera,Em Análise,-,Em Análise,,,,,https://m.media-amazon.com/images/I/91PgMktM0BL._SL1500_.jpg,,,,,,,,,,,,,,,,
Beemote #2,Leviatã,Livro,Ficção ,Científica,Steampunk,2010,Estados Unidos,Scott Westerfeld,Masculino,Galera,Em Análise,-,Em Análise,,,,,https://m.media-amazon.com/images/I/91JoxImdn3L._SL1500_.jpg,,,,,,,,,,,,,,,,
Golias #3,Leviatã,Livro,Ficção ,Científica,Steampunk,2011,Estados Unidos,Scott Westerfeld,Masculino,Galera,Em Análise,-,Em Análise,,,,,https://m.media-amazon.com/images/I/91jOYzoM3iL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Ouro Do Predador #2,Cidades Famintas,Livro,Ficção,Científica,Steampunk,2005,Reino Unido,Philip Reeve,Masculino,Novo Século,Em Análise,-,Em Análise,,,,288,https://m.media-amazon.com/images/I/61snuFC3UmL._SL1000_.jpg,,,,,,,,,,,,,,,,
Máquinas Infernais #3,Cidades Famintas,Livro,Ficção,Científica,Steampunk,2006,Estados Unidos,Philip Reeve,Masculino,Novo Século,Em Análise,-,Em Análise,,,,347,https://m.media-amazon.com/images/I/81bLpRDlxfL._SL1500_.jpg,,,,,,,,,,,,,,,,
Uma Plánice Sombria #4,Cidades Famintas,Livro,Ficção,Científica,Steampunk,2006,Estados Unidos,Philip Reeve,Masculino,Novo Século,Em Análise,-,Em Análise,,,,,https://m.media-amazon.com/images/I/419r4zQWYdL.jpg,,,,,,,,,,,,,,,,
Misericórdia Ancilar #3,Império Radch,Livro,Ficção,Científica,Viagem Espacial,2023,Estados Unidos,Ann Leckie,Feminino,Aleph,Em Análise,-,Em Análise,,,,336,https://m.media-amazon.com/images/I/71oINLgmNGL._SL1000_.jpg,,,,,,,,,,,,,,,,
Espada Ancilar #2,Império Radch,Livro,Ficção,Científica,Viagem Espacial,2023,Estados Unidos,Ann Leckie,Feminino,Aleph,Em Análise,-,Em Análise,,,,336,https://m.media-amazon.com/images/I/71ujvNvTlIL._SL1001_.jpg,,,,,,,,,,,,,,,,
Poeira De Estrelas #2,Império Galático,Livro,Ficção,Científica,Viagem Espacial,1951,Estados Unidos,Isaac Asimov,Masculino,Aleph,Em Análise,-,Em Análise,,,,304,https://m.media-amazon.com/images/I/81kOKSwpeML._SL1500_.jpg,,,,,,,,,,,,,,,,
Pedra No Céu #3,Império Galático,Livro,Ficção,Científica,Viagem Espacial,1950,Estados Unidos,Isaac Asimov,Masculino,Aleph,Em Análise,-,Em Análise,,,,297,https://m.media-amazon.com/images/I/81QCYSMzEQL._SL1500_.jpg,,,,,,,,,,,,,,,,
Messias De Duna #2,DUNA,Livro,Ficção,Científica,Viagem Espacial,1969,Estados Unidos,Frank Herbert,Masculino,Aleph,Em Análise,-,Em Análise,,,,330,https://m.media-amazon.com/images/I/91iLyWRwmRL._SL1500_.jpg,,,,,,,,,,,,,,,,
Filhos De Duna #3,DUNA,Livro,Ficção,Científica,Viagem Espacial,1976,Estados Unidos,Frank Herbert,Masculino,Aleph,Em Análise,-,Em Análise,,,,647,https://m.media-amazon.com/images/I/810pYklnGsL._SL1500_.jpg,,,,,,,,,,,,,,,,
Imperador Deus De Duna #4,DUNA,Livro,Ficção,Científica,Viagem Espacial,1981,Estados Unidos,Frank Herbert,Masculino,Aleph,Em Análise,-,Em Análise,,,,634,https://m.media-amazon.com/images/I/91XCwEX5fiL._SL1500_.jpg,,,,,,,,,,,,,,,,
Hereges De Duna #5,DUNA,Livro,Ficção,Científica,Viagem Espacial,1984,Estados Unidos,Frank Herbert,Masculino,Aleph,Em Análise,-,Em Análise,,,,644,https://m.media-amazon.com/images/I/61HtrwULeBL._SL1000_.jpg,,,,,,,,,,,,,,,,
Herdeiras De Duna #6,DUNA,Livro,Ficção,Científica,Viagem Espacial,1985,Estados Unidos,Frank Herbert,Masculino,Aleph,Em Análise,-,Em Análise,,,,657,https://m.media-amazon.com/images/I/61zKJw+JQRL._SL1001_.jpg,,,,,,,,,,,,,,,,
Fundação E Império #4,Fundação,Livro,Ficção,Científica,Viagem Espacial,1952,Estados Unidos,Isaac Asimov,Masculino,Aleph,Em Análise,-,Em Análise,,,,314,https://m.media-amazon.com/images/I/91eqiAezfqL._SL1500_.jpg,,,,,,,,,,,,,,,,
Segunda Fundação #5,Fundação,Livro,Ficção,Científica,Viagem Espacial,1953,Estados Unidos,Isaac Asimov,Masculino,Aleph,Em Análise,-,Em Análise,,,,294,https://m.media-amazon.com/images/I/61pFzGMR+AL._SL1000_.jpg,,,,,,,,,,,,,,,,
Limites Da Fundação #6,Fundação,Livro,Ficção,Científica,Viagem Espacial,1982,Estados Unidos,Isaac Asimov,Masculino,Aleph,Em Análise,-,Em Análise,,,,448,https://m.media-amazon.com/images/I/71KLAgswS+L._SL1000_.jpg,,,,,,,,,,,,,,,,
Fundação E Terra #7,Fundação,Livro,Ficção,Científica,Viagem Espacial,1986,Estados Unidos,Isaac Asimov,Masculino,Aleph,Em Análise,-,Em Análise,,,,574,https://m.media-amazon.com/images/I/71i3rIMdtpL._SL1000_.jpg,,,,,,,,,,,,,,,,
Prelúdio À Fundação #1,Fundação,Livro,Ficção,Científica,Viagem Espacial,1988,Estados Unidos,Isaac Asimov,Masculino,Aleph,Em Análise,-,Em Análise,,,,476,https://m.media-amazon.com/images/I/81ta5CEaDJL._SL1500_.jpg,,,,,,,,,,,,,,,,
Origens Da Fundação #2,Fundação,Livro,Ficção,Científica,Viagem Espacial,1993,Estados Unidos,Isaac Asimov,Masculino,Aleph,Em Análise,-,Em Análise,,,,507,https://m.media-amazon.com/images/I/81Q+ICiPQ7L._SL1500_.jpg,,,,,,,,,,,,,,,,
O Despertar De Roku #6,Crônicas do Avatar,Livro,Ficção,Aventura,Aventura Fantástica,2026,Estados Unidos,Randy Ribay,Masculino,Planeta,Tenho,EPUB,Em Análise,,,,368,-,,,,,,,,,,,,,,,,
O Amanhecer De Yangchen #1,Crônicas do Avatar,Livro,Ficção,Aventura,Aventura Fantástica,2022,Estados Unidos,F.C. Yee,Masculino,Planeta,Tenho,EPUB,Em Análise,,,,336,https://m.media-amazon.com/images/I/71bYF6GcqAL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Retorno De Roku #5,Crônicas do Avatar,Livro,Ficção,Aventura,Aventura Fantástica,2024,Estados Unidos,Randy Ribay,Masculino,Planeta,Tenho,EPUB,Em Análise,,,,368,https://m.media-amazon.com/images/I/71SCzfcnPBL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Legado De Yangchen #2,Crônicas do Avatar,Livro,Ficção,Aventura,Aventura Fantástica,2023,Estados Unidos,F.C. Yee,Masculino,Planeta,Tenho,EPUB,Em Análise,,,,336,https://m.media-amazon.com/images/I/811aNkle04L._SL1500_.jpg,,,,,,,,,,,,,,,,
A Ascensão De Kyoshi #3,Crônicas do Avatar,Livro,Ficção,Aventura,Aventura Fantástica,2022,Estados Unidos,F.C. Yee,Masculino,Planeta,Tenho,EPUB,Em Análise,,,,288,https://m.media-amazon.com/images/I/81PYwfByCOL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Escuridão De Kyoshi #4,Crônicas do Avatar,Livro,Ficção,Aventura,Aventura Fantástica,2022,Estados Unidos,F.C. Yee,Masculino,Planeta,Tenho,EPUB,Em Análise,,,,304,https://m.media-amazon.com/images/I/91aeExb+ceL._SL1500_.jpg,,,,,,,,,,,,,,,,
Ao Redor Da Lua #2,Guns Club Baltimore,Livro,Ficção,Científica,Viagem Espacial,1869,França,Jules Verne,Masculino,Aleph,Tenho,Físico,Em Análise,,,,236,https://m.media-amazon.com/images/I/71gGXN1z1XL._SL1500_.jpg,,,,,,,,,,,,,,,,
Fora Dos Eixos #3,Guns Club Baltimore,Livro,Ficção,Científica,Viagem Espacial,1889,França,Jules Verne,Masculino,Aleph,Tenho,Físico,Em Análise,,,,236,https://m.media-amazon.com/images/I/71TW1Jp-iwL._SL1500_.jpg,,,,,,,,,,,,,,,,
Os Ventos Do Inverno #6,As Crônicas de Gelo e Fogo,Livro,Ficção,Fantasia,Alta Fantasia,-,Estados Unidos,George R. R. Martin,Masculino,-,Em Análise,-,Em Análise,,,,-,-,,,,,,,,,,,,,,,,
A República Do Dragão #2,A Guerra da Papoula,Livro,Ficção,Fantasia,Alta Fantasia,2022,China,R. F. Kuang,Feminino,Intrínseca,Em Análise,-,Em Análise,,,,779,https://m.media-amazon.com/images/I/818fnagZbWL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Deusa Em Chamas #3,A Guerra da Papoula,Livro,Ficção,Fantasia,Alta Fantasia,2023,China,R. F. Kuang,Feminino,Intrínseca,Em Análise,-,Em Análise,,,,749,https://m.media-amazon.com/images/I/71UzFfznYqL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Fúria Dos Reis #2,As Crônicas de Gelo e Fogo,Livro,Ficção,Fantasia,Alta Fantasia,1998,Estados Unidos,George R. R. Martin,Masculino,LeYa,Em Análise,-,Em Análise,,,,1.317,https://m.media-amazon.com/images/I/91N6C0jwzuL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Tormenta De Espadas #3,As Crônicas de Gelo e Fogo,Livro,Ficção,Fantasia,Alta Fantasia,2000,Estados Unidos,George R. R. Martin,Masculino,LeYa,Em Análise,-,Em Análise,,,,1.690,https://m.media-amazon.com/images/I/91VVZ-v5GYL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Festim Dos Corvos #4,As Crônicas de Gelo e Fogo,Livro,Ficção,Fantasia,Alta Fantasia,2005,Estados Unidos,George R. R. Martin,Masculino,LeYa,Em Análise,-,Em Análise,,,,1.227,https://m.media-amazon.com/images/I/814UZhEYFfL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Dança Dos Dragões,As Crônicas de Gelo e Fogo,Livro,Ficção,Fantasia,Alta Fantasia,2011,Estados Unidos,George R. R. Martin,Masculino,LeYa,Em Análise,-,Em Análise,,,,1.666,https://m.media-amazon.com/images/I/91DisjRjFxL._SL1500_.jpg,,,,,,,,,,,,,,,,
Batismo De Fogo #5,The Witcher,Livro,Ficção,Fantasia,Alta Fantasia,1996,Polônia,Andrzej Sapkowski,Masculino,WMF Martins Fontes,Em Análise,-,Em Análise,,,,347,https://m.media-amazon.com/images/I/510W49L6PvL._SL1234_.jpg,,,,,,,,,,,,,,,,
Tempo De Tempestade #8,The Witcher,Livro,Ficção,Fantasia,Alta Fantasia,2013,Polônia,Andrzej Sapkowski,Masculino,WMF Martins Fontes,Em Análise,-,Em Análise,,,,347,https://m.media-amazon.com/images/I/618r42IcwRL._SL1246_.jpg,,,,,,,,,,,,,,,,
Tempo Do Desprezo #4,The Witcher,Livro,Ficção,Fantasia,Alta Fantasia,1995,Polônia,Andrzej Sapkowski,Masculino,WMF Martins Fontes,Em Análise,-,Em Análise,,,,347,https://m.media-amazon.com/images/I/618r42IcwRL._SL1246_.jpg,,,,,,,,,,,,,,,,
A Senhora Do Lago #7,The Witcher,Livro,Ficção,Fantasia,Alta Fantasia,1999,Polônia,Andrzej Sapkowski,Masculino,WMF Martins Fontes,Em Análise,-,Em Análise,,,,559,https://m.media-amazon.com/images/I/619NLHg0OtL._SL1246_.jpg,,,,,,,,,,,,,,,,
O Sangue Dos Elfos #3,The Witcher,Livro,Ficção,Fantasia,Alta Fantasia,1994,Polônia,Andrzej Sapkowski,Masculino,WMF Martins Fontes,Em Análise,-,Em Análise,,,,328,https://m.media-amazon.com/images/I/61GJ4i5mc+L._SL1237_.jpg,,,,,,,,,,,,,,,,
A Espada Do Destino #2,The Witcher,Livro,Ficção,Fantasia,Alta Fantasia,1992,Polônia,Andrzej Sapkowski,Masculino,WMF Martins Fontes,Em Análise,-,Em Análise,,,,379,https://m.media-amazon.com/images/I/61XmW85S9YL._SL1233_.jpg,,,,,,,,,,,,,,,,
A Torre Da Andorinha #6,The Witcher,Livro,Ficção,Fantasia,Alta Fantasia,1997,Polônia,Andrzej Sapkowski,Masculino,WMF Martins Fontes,Em Análise,-,Em Análise,,,,456,https://m.media-amazon.com/images/I/61XT2COosUL._SL1232_.jpg,,,,,,,,,,,,,,,,
Um Sonho De Primavera #7,As Crônicas de Gelo e Fogo,Livro,Ficção,Fantasia,Fantasia Épica,-,Estados Unidos,George R. R. Martin,Masculino,-,Em Análise,-,Em Análise,,,,-,-,,,,,,,,,,,,,,,,
A Cruzada Secreta #3,Assassin’s Creed,Livro,Ficção,Fantasia,Fantasia Histórica,2011,Reino Unido,Oliver Bownden,Masculino,Galera,Em Análise,-,Em Análise,,,,445,https://m.media-amazon.com/images/I/71V0OS3JpeL._SL1000_.jpg,,,,,,,,,,,,,,,,
Bandeira Negra #6,Assassin’s Creed,Livro,Ficção,Fantasia,Fantasia Histórica,2013,Reino Unido,Oliver Bownden,Masculino,Galera,Em Análise,-,Em Análise,,,,424,https://m.media-amazon.com/images/I/810lGMOmu2L._SL1500_.jpg,,,,,,,,,,,,,,,,
Heresia #9,Assassin’s Creed,Livro,Ficção,Fantasia,Fantasia Histórica,2016,Estados Unidos,Christie Golden,Feminino,Galera,Em Análise,-,Em Análise,,,,381,https://m.media-amazon.com/images/I/91SgUSyyPHL._SL1500_.jpg,,,,,,,,,,,,,,,,
Irmandade #2,Assassin’s Creed,Livro,Ficção,Fantasia,Fantasia Histórica,2010,Reino Unido,Oliver Bownden,Masculino,Galera,Em Análise,-,Em Análise,,,,495,https://m.media-amazon.com/images/I/51u014SX+JL.jpg,,,,,,,,,,,,,,,,
Juramento Do Deserto #10,Assassin’s Creed,Livro,Ficção,Fantasia,Fantasia Histórica,2017,Reino Unido,Oliver Bownden,Masculino,Galera,Em Análise,-,Em Análise,,,,304,https://m.media-amazon.com/images/I/81S1TiZDhiL._SL1500_.jpg,,,,,,,,,,,,,,,,
Odyssey #11,Assassin’s Creed,Livro,Ficção,Fantasia,Fantasia Histórica,2018,Reino Unido,Gordon Doherty,Masculino,Galera,Em Análise,-,Em Análise,,,,376,https://m.media-amazon.com/images/I/81CSyfVs-OS._SL1500_.jpg,,,,,,,,,,,,,,,,
Renegado #5,Assassin’s Creed,Livro,Ficção,Fantasia,Fantasia Histórica,2012,Reino Unido,Oliver Bownden,Masculino,Galera,Em Análise,-,Em Análise,,,,350,https://m.media-amazon.com/images/I/91n1ggX5DDL._SL1500_.jpg,,,,,,,,,,,,,,,,
Revelações #4,Assassin’s Creed,Livro,Ficção,Fantasia,Fantasia Histórica,2011,Reino Unido,Oliver Bownden,Masculino,Galera,Em Análise,-,Em Análise,,,,426,https://m.media-amazon.com/images/I/81Re5VLRiNL._SL1500_.jpg,,,,,,,,,,,,,,,,
Submundo #8,Assassin’s Creed,Livro,Ficção,Fantasia,Fantasia Histórica,2015,Reino Unido,Oliver Bownden,Masculino,Galera,Em Análise,-,Em Análise,,,,453,https://m.media-amazon.com/images/I/81rwzQqdD5L._SL1500_.jpg,,,,,,,,,,,,,,,,
Unity #7,Assassin’s Creed,Livro,Ficção,Fantasia,Fantasia Histórica,2014,Reino Unido,Oliver Bownden,Masculino,Galera,Em Análise,-,Em Análise,,,,407,https://m.media-amazon.com/images/I/91ma8VAq4vL._SL1500_.jpg,,,,,,,,,,,,,,,,
As Terras Devastadas #3,A Torre Negra,Livro,Ficção,Fantasia,Fantasia de Faroeste,1991,Estados Unidos,Stephen King,Masculino,Suma,Em Análise,-,Em Análise,,,,578,https://m.media-amazon.com/images/I/816uCPGWwqL._SL1500_.jpg,,,,,,,,,,,,,,,,
Mago e Vidro #4,A Torre Negra,Livro,Ficção,Fantasia,Fantasia de Faroeste,1997,Estados Unidos,Stephen King,Masculino,Suma,Em Análise,-,Em Análise,,,,972,https://m.media-amazon.com/images/I/81XgRRtFb2L._SL1500_.jpg,,,,,,,,,,,,,,,,
A Escolha dos Três #2,A Torre Negra,Livro,Ficção,Fantasia,Fantasia de Faroeste,1987,Estados Unidos,Stephen King,Masculino,Suma,Em Análise,-,Em Análise,,,,454,https://m.media-amazon.com/images/I/918AnTbJjQL._SL1500_.jpg,,,,,,,,,,,,,,,,
Lobos de Calla #5,A Torre Negra,Livro,Ficção,Fantasia,Fantasia de Faroeste,2003,Estados Unidos,Stephen King,Masculino,Suma,Em Análise,-,Em Análise,,,,816,https://m.media-amazon.com/images/I/91kxgOz5GeL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Torre Negra #7,A Torre Negra,Livro,Ficção,Fantasia,Fantasia de Faroeste,2004,Estados Unidos,Stephen King,Masculino,Suma,Em Análise,-,Em Análise,,,,883,https://m.media-amazon.com/images/I/91mB-CFi5bL._SL1500_.jpg,,,,,,,,,,,,,,,,
Canção deSusannah #6,A Torre Negra,Livro,Ficção,Fantasia,Fantasia de Faroeste,2004,Estados Unidos,Stephen King,Masculino,Suma,Em Análise,-,Em Análise,,,,450,https://m.media-amazon.com/images/I/91U8HK1iz9L._SL1500_.jpg,,,,,,,,,,,,,,,,
A Rainha Do Castelo De Ar #3,Millennium,Livro,Ficção,Fantasia,Fantasia Urbana,2007,Suécia,Stieg Larsson,Masculino,Companhia das Letras,Em Análise,-,Em Análise,,,,706,https://m.media-amazon.com/images/I/91YhqAPUvWL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Menina Que Brincava Com Fogo #2,Millennium,Livro,Ficção,Fantasia,Fantasia Urbana,2012,Suécia,Stieg Larsson,Masculino,Companhia das Letras,Em Análise,-,Em Análise,,,,608,https://m.media-amazon.com/images/I/81v4eAjZjzL._SL1500_.jpg,,,,,,,,,,,,,,,,
Cidade de Jade #1,A Saga dos Ossos Verdes,Livro,Ficção ,Fantasia,,,Canadá ,Fouda Lee,Feminino,Alta Novel,Em Análise,-,Em Análise,,,,480,https://m.media-amazon.com/images/I/71Uggal-rPL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Silmarillon,,Livro,Ficção,Fantasia,Alta Fantasia,1977,África do Sul,J.R.R. Tolkien,Masculino,HarperCollins,Em Análise,-,Em Análise,,,,592,https://m.media-amazon.com/images/I/91RZcTwBNzL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Hobbit,,Livro,Ficção,Fantasia,Alta Fantasia,1937,África do Sul,J.R.R. Tolkien,Masculino,HarperCollins,Em Análise,-,Em Análise,,,,336,https://m.media-amazon.com/images/I/91M9xPIf10L._SL1500_.jpg,,,,,,,,,,,,,,,,
O Crepusculo e a Aurora #4,Kingsbridge,Livro,Ficção,Histórica,Medieval,2020,Reino Unido,Ken Follet,Masculino,Arqueiro,Em Análise,-,Em Análise,,,,991,https://m.media-amazon.com/images/I/81lqOnxQKlL._SL1500_.jpg,,,,,,,,,,,,,,,,
Mundo sem Fim #2,Kingsbridge,Livro,Ficção,Histórica,Medieval,2007,Reino Unido,Ken Follet,Masculino,Arqueiro,Em Análise,-,Em Análise,,,,1.600,https://m.media-amazon.com/images/I/910nf7UYJtL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Armadura da Luz #5,Kingsbridge,Livro,Ficção,Histórica,Medieval,2023,Reino Unido,Ken Follet,Masculino,Arqueiro,Em Análise,-,Em Análise,,,,898,https://m.media-amazon.com/images/I/A1WacJblOfL._SL1500_.jpg,,,,,,,,,,,,,,,,
Coluna de Fogo #3,Kingsbridge,Livro,Ficção,Histórica,Medieval,2017,Reino Unido,Ken Follet,Masculino,Arqueiro,Em Análise,-,Em Análise,,,,1.124,https://m.media-amazon.com/images/I/A1WpuO4W98L._SL1500_.jpg,,,,,,,,,,,,,,,,
Herdeiras do Mar,,Livro,Ficção ,Histórica,Segunda Guerra Mundial,2020,Coreia do Sul,Mary Lynn Bracht,Feminino ,Paralela,Em Análise,-,Em Análise,,,,304,https://m.media-amazon.com/images/I/914IPmc-1AL._SL1500_.jpg,,,,,,,,,,,,,,,,
Herança De Sangue #3,Guerra das Rosas,Livro,Ficção,Histórica,Idade Moderna,2017,Reino Unido,Conn Iggulden,Masculino,Record,Tenho,Físico,Em Análise,,,,537,https://m.media-amazon.com/images/I/81M1cQnJ8sL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Guerra Do Lobo #11,Crônicas Saxônicas,Livro,Ficção,Histórica,Invasão Vinkings,2022,Reino Unido,Bernard Cornwell,Masculino,Record,Em Análise,-,Em Análise,,,,438,https://m.media-amazon.com/images/I/81bZ8ulM-CL._SL1500_.jpg,,,,,,,,,,,,,,,,
Inimigo #3,Crônicas de Starbuck,Livro,Ficção,Histórica,Guerra Civil Americana,1995,Reino Unido,Bernard Cornwell,Masculino,Record,Em Análise,-,Em Análise,,,,514,https://m.media-amazon.com/images/I/910tlky-l8L._SL1500_.jpg,,,,,,,,,,,,,,,,
Traidor #2,Crônicas de Starbuck,Livro,Ficção,Histórica,Guerra Civil Americana,1994,Reino Unido,Bernard Cornwell,Masculino,Record,Em Análise,-,Em Análise,,,,493,https://m.media-amazon.com/images/I/912mAi6jCkL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Canção Da Espada #4,Crônicas Saxônicas,Livro,Ficção,Histórica,Invasão Vinkings,2007,Reino Unido,Bernard Cornwell,Masculino,Record,Em Análise,-,Em Análise,,,,345,https://m.media-amazon.com/images/I/91EQ+P3G04L._SL1500_.jpg,,,,,,,,,,,,,,,,
Ravenspur #4,Guerra das Rosas,Livro,Ficção,Histórica,Idade Moderna,2020,Reino Unido,Conn Iggulden,Masculino,Record,Tenho,Físico,Em Análise,,,,598,https://m.media-amazon.com/images/I/81uguPXBVAL._SL1500_.jpg,,,,,,,,,,,,,,,,
O Andarilho #2,A Busca do Graal,Livro,Ficção,Histórica,Guerra dos Cem Anos,2003,Reino Unido,Bernard Cornwell,Masculino,Record,Tenho,Físico,Em Análise,,,,464,https://m.media-amazon.com/images/I/81Vw2Ig4sbL._SL1500_.jpg,,,,,,,,,,,,,,,,
